wage,training,isMale,experience,education,isUrban,isAge50,motivation
3034.86,1,0,11.0,20.0,1,1,-0.2729
2049.31,0,1,1.0,15.2,0,0,-0.3995
2563.68,1,0,15.0,14.8,0,0,1.7682
2203.38,0,0,22.1,14.6,0,1,-1.8038
2092.96,1,1,6.4,14.9,0,0,0.7155
2311.65,0,1,8.5,13.6,0,0,-1.3366
2327.38,1,0,4.0,13.1,1,0,0.5907
1975.8,0,0,5.0,14.6,1,0,-1.2169
2456.47,1,1,8.6,12.0,1,1,1.3634
3097.65,1,1,5.4,15.0,1,0,0.8625
2144.65,0,1,13.5,12.0,0,0,-0.6172
1587.41,1,1,3.6,14.5,0,0,-1.056
2680.58,1,0,15.4,16.4,1,1,0.398
3245.87,1,0,13.1,17.8,1,1,0.4395
1498.84,1,0,9.3,13.8,0,0,-1.5029
1480.3,1,0,8.1,10.3,0,0,-0.7405
1704.71,1,1,4.1,8.0,1,0,1.6533
1783.77,0,1,6.0,14.7,1,0,-1.1909
1815.3,1,1,6.7,9.8,1,0,-0.8935
1867.2,0,1,9.3,14.2,0,0,-0.2589
1913.91,0,1,11.6,16.5,1,0,-1.5444
2917.49,1,1,8.3,12.2,1,0,0.9694
2199.99,1,0,1.2,16.6,1,0,0.2023
2279.95,1,0,17.7,18.0,0,0,-0.2652
2350.1,1,0,10.0,11.8,1,1,-0.0451
3077.13,0,0,17.7,15.0,1,0,-0.107
1999.89,1,0,5.0,17.5,0,0,0.1366
3101.28,1,1,7.9,14.5,0,0,2.0827
1980.06,1,1,9.6,11.4,0,0,0.4168
4705.79,1,0,22.2,18.6,1,0,-0.2775
2328.34,1,1,17.5,11.2,0,1,-0.0975
2550.43,1,1,7.2,15.3,1,0,-0.2249
1900.7,0,0,12.2,12.9,1,0,-0.4288
1718.47,1,0,18.1,9.2,1,1,-0.7492
2145.93,1,1,13.2,11.8,0,1,-0.1851
4382.79,1,1,19.1,19.3,0,0,0.046
2338.37,1,0,22.9,12.4,0,1,0.7714
1476.53,0,0,10.6,12.4,0,0,-0.613
2542.41,1,0,5.3,18.6,0,0,0.9785
2079.38,0,1,15.6,12.2,0,0,-1.5588
3567.56,1,1,3.9,18.5,0,1,0.0645
1488.73,1,1,0.0,8.2,0,0,1.0231
2383.26,1,0,0.0,17.6,0,1,2.202
1742.49,0,1,9.3,12.6,0,0,-1.1141
2013.02,1,0,14.6,14.6,0,0,-0.9215
3081.43,1,1,7.6,15.2,0,0,2.8243
1524.95,0,0,5.0,11.5,1,1,-0.4457
1863.76,1,1,5.7,11.2,1,0,-1.0423
2067.19,0,0,14.7,12.5,1,0,0.494
2157.17,0,1,5.3,15.3,0,0,0.3904
1797.17,1,1,5.1,14.1,0,1,-0.1833
1581.88,1,0,20.7,10.0,0,1,0.7285
4123.31,1,1,17.2,14.7,1,1,-0.0133
2875.07,1,1,10.8,16.6,1,1,0.0756
2495.23,1,1,6.4,15.5,0,1,1.1772
2557.37,1,1,0.6,20.3,1,0,-0.5479
2121.46,0,0,10.2,14.9,1,0,-1.2324
1646.2,0,0,7.6,10.4,0,0,-0.5178
2525.77,0,1,7.3,13.7,1,0,-0.1473
3845.93,1,1,9.8,18.1,1,1,0.7834
2203.61,1,1,11.5,11.3,0,0,0.0204
2706.83,1,0,16.9,15.3,1,0,-0.3451
3488.0,1,1,17.4,13.4,1,0,-1.0538
1680.26,1,1,4.9,8.0,1,1,-0.5712
2230.4,0,0,15.4,8.4,0,0,0.6988
3490.92,1,1,15.6,16.3,0,0,-0.4448
2478.97,0,0,17.0,19.4,1,0,-1.4962
3310.68,0,1,17.0,19.5,0,0,-0.154
3337.28,1,0,18.1,13.9,1,0,0.8511
3244.48,0,1,12.3,10.5,1,0,0.4417
3285.87,1,0,14.7,14.9,0,1,-0.356
1582.2,0,0,14.7,15.4,1,1,-1.441
2916.82,0,1,11.0,16.3,1,0,0.1397
3127.68,0,1,13.6,16.0,1,1,0.6976
2620.86,0,0,16.3,15.8,1,0,-0.6845
3174.44,1,0,12.7,19.6,0,0,0.7605
1053.81,0,0,8.0,8.0,1,1,-2.4878
1971.4,1,1,11.9,11.9,1,1,-1.6712
2832.72,0,1,18.9,11.9,1,0,0.6833
2066.73,1,0,6.8,12.5,1,0,-1.0556
2178.86,0,1,8.3,12.6,1,1,-0.2751
2627.84,1,0,11.6,18.3,1,1,-0.5152
2282.27,1,0,13.8,10.7,1,0,-0.0179
4088.04,1,1,8.8,17.7,1,0,0.0745
2897.24,0,0,9.6,18.4,0,0,1.6734
